"Toggle color scheme.","Wissel kleurschema."
"Filename (optional)","Bestandsnaam (optioneel)"
"Add another file.","Voeg nog een bestand toe."
"Remove this file.","Verwijder dit bestand."
"Enter code to paste.","Voer code om te delen in."
"Paste!","Deel!"
"Expiry","Verlooptijd"
"1 day","1 dag"
"1 week","1 week"
"Use a longer URI.","Gebruik een langere URI."
"This paste expires on","Deze paste verloopt op"
"This paste never expires.","Deze paste verloopt nooit."
"Remove now","Verwijder nu"
"Repaste","Repaste"
"this paste.","deze paste."
"Toggle word wrap","Wissel regelafbreking"
"Pasted through","Gedeeld via"
"Filename:","Bestandsnaam:"
"Size:","Grootte:"
"View:","Bekijk:"
"raw","rauw"
"hex","hex"
"or","of"
"download","download"
"this file.","dit bestand."
"View paste","Bekijk paste"
